method_new_Both model testing on...
testset,accuracy,avg precision
progan,0.9275,0.9875211372746894
stylegan,0.9066666666666666,0.9764712357232338
biggan,0.545,0.6591240169611181
cyclegan,0.6625,0.8172086601998326
stargan,0.995,1.0
gaugan,0.62,0.6676985826258848
crn,0.76,0.8427243047683414
imle,0.665,0.7384501470582059
deepfake,0.72,0.7684399571065069
stylegan2,0.86,0.9415901912430179
