method_old_Both model testing on...
testset,accuracy,avg precision
progan,0.86,0.9610273445948382
stylegan,0.66,0.8536255375351489
biggan,0.515,0.5593061290886825
cyclegan,0.5683333333333334,0.6372599964641927
stargan,0.785,0.9254762185692121
gaugan,0.49,0.49034862838181326
crn,0.535,0.8933371562837676
imle,0.535,0.7419338727211177
deepfake,0.55,0.6515229811553227
stylegan2,0.66375,0.8843035058443515
